legal_name,display_name,party_nature,party_type,country,domicile_state,status,brand_origin,is_listed,kyc_risk_rating,pan,gstin,cin,lei,line1,line2,city,state,pincode
Narmada Holdings 1001,Narmada Holdings 1001,trust,spv,IN,Tamil Nadu,active,binarycapital,false,medium,JCPBA1001D,33JCPBA1001D1Z2,U64201MH2024PTC100001,3298AHOX000000000001,"101, Narmada Marg",Chennai,Chennai,Tamil Nadu,400001
Deccan Capital 1002,Deccan Capital 1002,spv,arranger,IN,Delhi,active,shared,false,medium,HJPFB1002G,07HJPFB1002G2Z3,U64201MH2024PTC100002,3298AHOX000000000002,"102, Deccan Marg",New Delhi,New Delhi,Delhi,400002
Himalaya Logistics 1003,Himalaya Logistics 1003,organization,arranger,IN,Karnataka,active,binarybonds,false,medium,FEPLG1003B,29FEPLG1003B3Z4,U64201MH2024PTC100003,3298AHOX000000000003,"103, Himalaya Marg",Bengaluru,Bengaluru,Karnataka,400003
Deccan Hotels 1004,Deccan Hotels 1004,trust,arranger,IN,Rajasthan,active,binarycapital,true,medium,JCPDB1004A,08JCPDB1004A4Z5,U64201MH2024PTC100004,3298AHOX000000000004,"104, Deccan Marg",Jaipur,Jaipur,Rajasthan,400004
Pallava Ventures 1005,Pallava Ventures 1005,spv,spv,IN,Gujarat,active,shared,false,low,DAPBC1005D,24DAPBC1005D5Z6,U64201MH2024PTC100005,3298AHOX000000000005,"105, Pallava Marg",Ahmedabad,Ahmedabad,Gujarat,400005
Yamuna Holdings 1006,Yamuna Holdings 1006,spv,spv,IN,Uttar Pradesh,active,shared,true,high,JCPCE1006A,09JCPCE1006A6Z7,U64201MH2024PTC100006,3298AHOX000000000006,"106, Yamuna Marg",Noida,Noida,Uttar Pradesh,400006
Aravalli Group 1007,Aravalli Group 1007,trust,investor,IN,Gujarat,active,shared,false,low,DHPBA1007B,24DHPBA1007B7Z8,U64201MH2024PTC100007,3298AHOX000000000007,"107, Aravalli Marg",Ahmedabad,Ahmedabad,Gujarat,400007
Godavari Industries 1008,Godavari Industries 1008,spv,spv,IN,Haryana,active,shared,true,high,DFPBD1008E,06DFPBD1008E8Z9,U64201MH2024PTC100008,3298AHOX000000000008,"108, Godavari Marg",Gurugram,Gurugram,Haryana,400008
Narmada Cements 1009,Narmada Cements 1009,trust,spv,IN,Tamil Nadu,onboarding,binarycapital,true,medium,EGPBE1009C,33EGPBE1009C9Z1,U64201MH2024PTC100009,3298AHOX000000000009,"109, Narmada Marg",Chennai,Chennai,Tamil Nadu,400009
Coromandel Cements 1010,Coromandel Cements 1010,trust,arranger,IN,Gujarat,onboarding,binarybonds,false,medium,FAPAF1010G,24FAPAF1010G0Z2,U64201MH2024PTC100010,3298AHOX000000000010,"110, Coromandel Marg",Ahmedabad,Ahmedabad,Gujarat,400010
Chola Enterprises 1011,Chola Enterprises 1011,organization,arranger,IN,Telangana,onboarding,binarycapital,false,low,CDPFE1011B,36CDPFE1011B1Z3,U64201MH2024PTC100011,3298AHOX000000000011,"111, Chola Marg",Hyderabad,Hyderabad,Telangana,400011
Garuda Renewables 1012,Garuda Renewables 1012,organization,intermediary,IN,West Bengal,active,binarybonds,false,medium,EEPBH1012H,19EEPBH1012H2Z4,U64201MH2024PTC100012,3298AHOX000000000012,"112, Garuda Marg",Kolkata,Kolkata,West Bengal,400012
Rajwada Power 1013,Rajwada Power 1013,organization,spv,IN,Maharashtra,active,shared,false,medium,HAPDE1013L,27HAPDE1013L3Z5,U64201MH2024PTC100013,3298AHOX000000000013,"113, Rajwada Marg",Mumbai,Mumbai,Maharashtra,400013
Pallava Logistics 1014,Pallava Logistics 1014,spv,investor,IN,Haryana,active,binarycapital,false,low,GDPGF1014L,06GDPGF1014L4Z6,U64201MH2024PTC100014,3298AHOX000000000014,"114, Pallava Marg",Gurugram,Gurugram,Haryana,400014
Vedanta Developers 1015,Vedanta Developers 1015,trust,issuer,IN,Tamil Nadu,active,binarybonds,false,medium,CFPAH1015B,33CFPAH1015B5Z7,U64201MH2024PTC100015,3298AHOX000000000015,"115, Vedanta Marg",Chennai,Chennai,Tamil Nadu,400015
Himalaya Holdings 1016,Himalaya Holdings 1016,trust,intermediary,IN,Maharashtra,active,binarybonds,false,high,FGPGJ1016E,27FGPGJ1016E6Z8,U64201MH2024PTC100016,3298AHOX000000000016,"116, Himalaya Marg",Mumbai,Mumbai,Maharashtra,400016
